SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 7
NUMBER OF REGULAR-CHARGERS: 0
NUMBER OF SPARE BATTERIES: 0

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         SPI                          1.0        120.0      78.71
A1         F2         SBN                        208.0        306.0      43.13
A1         F3         MDW                        395.0        482.0      16.13
A1         F4         SBN                        564.0        669.0      43.13
A1         F5         SBN                        757.0        862.0      43.13
A2         F1         SPI                          4.0        122.0      78.71
A2         F2         MKE                        204.0        298.0      36.50
A2         F3         SPI                        373.0        499.0      78.71
A2         F4         PIA                        611.0        720.0      61.29
A3         F1         CID                          1.0        125.0      87.55
A3         F2         MDW                        228.0        321.0      16.13
A3         F3         FWA                        399.0        515.0      71.84
A3         F4         PIA                        608.0        725.0      61.29
A4         F1         MDW                         23.0        125.0      16.13
A4         F2         GRR                        211.0        330.0      63.99
A4         F3         BMI                        404.0        517.0      55.89
A4         F4         MKE                        615.0        722.0      36.50
A5         F1         SPI                         14.0        132.0      78.71
A5         F2         BMI                        213.0        333.0      55.89
A5         F3         MKE                        434.0        538.0      36.50
A5         F4         CMI                        629.0        743.0      63.50
A6         F1         MLI                         24.0        134.0      64.97
A6         F2         MDW                        247.0        340.0      16.13
A6         F3         SBN                        438.0        538.0      43.13
A6         F4         MKE                        627.0        737.0      36.50
A7         F1         MKE                         41.0        145.0      36.50
A7         F2         MKE                        225.0        332.0      36.50
A7         F3         SPI                        435.0        553.0      78.71
A7         F4         PIA                        640.0        749.0      61.29
A8         F1         CID                         23.0        149.0      87.55
A8         F2         FWA                        236.0        355.0      71.84
A8         F3         SPI                        447.0        584.0      78.71
A8         F4         BMI                        659.0        775.0      55.89
A9         F1         LAN                         21.0        153.0      80.43
A9         F2         GRR                        270.0        384.0      63.99
A9         F3         IND                        482.0        606.0      79.94
A9         F4         LAN                        708.0        847.0      80.43
A10        F1         CID                         41.0        166.0      87.55
A10        F2         GRR                        246.0        362.0      63.99
A10        F3         MSN                        454.0        562.0      52.94
A10        F4         MDW                        654.0        739.0      16.13
A11        F1         IND                         39.0        168.0      79.94
A11        F2         GRR                        276.0        403.0      63.99
A11        F3         MSN                        544.0        648.0      52.94
A11        F4         BMI                        759.0        866.0      55.89
A12        F1         LAN                         49.0        179.0      80.43
A12        F2         SPI                        258.0        392.0      78.71
A12        F3         CMI                        520.0        641.0      63.50
A12        F4         BMI                        756.0        874.0      55.89
A13        F1         CMI                         59.0        186.0      63.50
A13        F2         CID                        265.0        393.0      87.55
A13        F3         SPI                        521.0        659.0      78.71
A13        F4         MKE                        787.0        885.0      36.50
A14        F1         MLI                         69.0        188.0      64.97
A14        F2         IND                        289.0        415.0      79.94
A14        F3         FWA                        509.0        634.0      71.84
A14        F4         MDW                        791.0        886.0      16.13
A15        F1         MSN                         79.0        199.0      52.94
A15        F2         CMI                        279.0        404.0      63.50
A15        F3         IND                        634.0        772.0      79.94
A16        F1         GRR                         77.0        201.0      63.99
A16        F2         MKE                        303.0        405.0      36.50
A16        F3         MDW                        521.0        613.0      16.13
A17        F1         MDW                        105.0        203.0      16.13
A17        F2         MLI                        302.0        412.0      64.97
A17        F3         MDW                        542.0        638.0      16.13
A18        F1         MLI                        111.0        222.0      64.97
A18        F2         GRR                        296.0        422.0      63.99
A18        F3         MLI                        568.0        698.0      64.97
A19        F1         SBN                        126.0        229.0      43.13
A19        F2         IND                        303.0        437.0      79.94
A19        F3         PIA                        581.0        701.0      61.29
A20        F1         LAF                         80.0        236.0      57.12
A20        F2         FWA                        308.0        434.0      71.84
A20        F3         FWA                        637.0        761.0      71.84
A21        F1         FWA                        127.0        243.0      71.84
A21        F2         CMI                        329.0        439.0      63.50
A21        F3         SPI                        559.0        683.0      78.71
A22        F1         PIA                        123.0        247.0      61.29
A22        F2         GRR                        341.0        469.0      63.99
A23        F1         LAF                         98.0        248.0      57.12
A23        F2         MDW                        343.0        445.0      16.13
A24        F1         SBN                        153.0        251.0      43.13
A24        F2         BMI                        330.0        442.0      55.89
A24        F3         MSN                        629.0        752.0      52.94
A25        F1         PIA                        147.0        257.0      61.29
A25        F2         PIA                        345.0        458.0      61.29
A25        F3         BMI                        653.0        769.0      55.89
A26        F1         PIA                        140.0        260.0      61.29
A26        F2         CMI                        351.0        462.0      63.50
A27        F1         MSN                        149.0        262.0      52.94
A27        F2         SBN                        358.0        472.0      43.13
A28        F1         CID                        160.0        285.0      87.55
A28        F2         IND                        356.0        477.0      79.94
A29        F1         MKE                        192.0        296.0      36.50
A29        F2         MKE                        411.0        521.0      36.50
A30        F1         IND                        163.0        296.0      79.94
A30        F2         LAF                        369.0        525.0      57.12
A31        F1         IND                        181.0        309.0      79.94
A31        F2         IND                        398.0        523.0      79.94
A32        F1         LAF                        181.0        345.0      57.12
A33        F1         IND                        261.0        400.0      79.94
A34        F1         MLI                        321.0        445.0      64.97
A35        F1         BMI                        332.0        451.0      55.89
A36        F1         CMI                        355.0        471.0      63.50
A37        F1         GRR                        353.0        478.0      63.99
A38        F1         FWA                        359.0        481.0      71.84
A39        F1         LAF                        357.0        516.0      57.12
A40        F1         BMI                        400.0        525.0      55.89
A41        F1         LAN                        433.0        573.0      80.43
