SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 4
NUMBER OF REGULAR-CHARGERS: 0
NUMBER OF SPARE BATTERIES: 0

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         CID                          3.0        133.0      87.55
A1         F2         MKE                        263.0        357.0      36.50
A1         F3         FWA                        441.0        571.0      71.84
A1         F4         MKE                        633.0        746.0      36.50
A2         F1         PIA                         26.0        154.0      61.29
A2         F2         MDW                        304.0        401.0      16.13
A2         F3         SBN                        465.0        566.0      43.13
A2         F4         MKE                        636.0        745.0      36.50
A3         F1         MDW                         74.0        169.0      16.13
A3         F2         MLI                        247.0        372.0      64.97
A3         F3         MDW                        515.0        597.0      16.13
A3         F4         FWA                        702.0        826.0      71.84
A4         F1         MSN                         56.0        171.0      52.94
A4         F2         FWA                        270.0        396.0      71.84
A4         F3         FWA                        477.0        599.0      71.84
A4         F4         GRR                        697.0        814.0      63.99
A5         F1         IND                         68.0        189.0      79.94
A5         F2         LAF                        281.0        444.0      57.12
A5         F3         MKE                        562.0        661.0      36.50
A5         F4         MKE                        740.0        846.0      36.50
A6         F1         LAN                         69.0        193.0      80.43
A6         F2         MDW                        321.0        403.0      16.13
A6         F3         IND                        515.0        637.0      79.94
A6         F4         GRR                        781.0        893.0      63.99
A7         F1         IND                         89.0        213.0      79.94
A7         F2         MKE                        305.0        406.0      36.50
A7         F3         MLI                        570.0        697.0      64.97
A7         F4         PIA                        777.0        895.0      61.29
A8         F1         CID                        109.0        250.0      87.55
A8         F2         MKE                        456.0        554.0      36.50
A8         F3         IND                        626.0        763.0      79.94
A9         F1         SPI                        141.0        276.0      78.71
A9         F2         IND                        444.0        576.0      79.94
A9         F3         GRR                        766.0        876.0      63.99
A10        F1         MKE                        180.0        282.0      36.50
A10        F2         SBN                        595.0        708.0      43.13
A11        F1         LAF                        135.0        298.0      57.12
A11        F2         MKE                        418.0        515.0      36.50
A11        F3         MKE                        626.0        724.0      36.50
A12        F1         IND                        182.0        315.0      79.94
A12        F2         LAF                        580.0        750.0      57.12
A13        F1         PIA                        210.0        320.0      61.29
A13        F2         LAF                        615.0        775.0      57.12
A14        F1         SPI                        215.0        334.0      78.71
A14        F2         CMI                        397.0        513.0      63.50
A15        F1         LAF                        185.0        339.0      57.12
A15        F2         MDW                        566.0        658.0      16.13
A16        F1         GRR                        329.0        445.0      63.99
A17        F1         LAN                        323.0        461.0      80.43
A18        F1         MLI                        355.0        468.0      64.97
