SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 5
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         BMI                         14.0        121.0      55.89
A1         F2         MDW                        195.0        278.0      16.13
A1         F3         CMI                        356.0        478.0      63.50
A1         F4         CMI                        550.0        662.0      63.50
A1         F5         MKE                        726.0        822.0      36.50
A2         F1         MDW                         66.0        148.0      16.13
A2         F2         MSN                        219.0        330.0      52.94
A2         F3         SBN                        401.0        509.0      43.13
A2         F4         MSN                        594.0        708.0      52.94
A3         F1         MSN                         32.0        154.0      52.94
A3         F2         SBN                        224.0        335.0      43.13
A3         F3         GRR                        408.0        529.0      63.99
A3         F4         MSN                        593.0        713.0      52.94
A4         F1         MKE                         48.0        156.0      36.50
A4         F2         GRR                        237.0        359.0      63.99
A4         F3         PIA                        430.0        547.0      61.29
A4         F4         MSN                        679.0        784.0      52.94
A5         F1         PIA                         62.0        187.0      61.29
A5         F2         MLI                        275.0        397.0      64.97
A5         F3         LAN                        469.0        596.0      80.43
A5         F4         MDW                        686.0        771.0      16.13
A6         F1         PIA                         77.0        205.0      61.29
A6         F2         MDW                        289.0        388.0      16.13
A6         F3         PIA                        450.0        561.0      61.29
A6         F4         LAN                        639.0        762.0      80.43
A7         F1         CMI                         88.0        209.0      63.50
A7         F2         MDW                        312.0        394.0      16.13
A7         F3         PIA                        474.0        598.0      61.29
A7         F4         SBN                        676.0        785.0      43.13
A8         F1         SPI                         88.0        223.0      78.71
A8         F2         MLI                        291.0        419.0      64.97
A8         F3         MDW                        522.0        616.0      16.13
A8         F4         BMI                        728.0        836.0      55.89
A9         F1         IND                         88.0        224.0      79.94
A9         F2         CMI                        324.0        442.0      63.50
A9         F3         SPI                        549.0        672.0      78.71
A9         F4         SBN                        755.0        864.0      43.13
A10        F1         MKE                        131.0        228.0      36.50
A10        F2         MKE                        342.0        449.0      36.50
A10        F3         IND                        604.0        735.0      79.94
A11        F1         CID                        116.0        240.0      87.55
A11        F2         FWA                        371.0        489.0      71.84
A11        F3         MLI                        679.0        804.0      64.97
A12        F1         MKE                        149.0        246.0      36.50
A12        F2         LAN                        406.0        531.0      80.43
A12        F3         MKE                        654.0        762.0      36.50
A13        F1         GRR                        117.0        247.0      63.99
A13        F2         SPI                        421.0        556.0      78.71
A13        F3         PIA                        751.0        867.0      61.29
A14        F1         GRR                        141.0        258.0      63.99
A14        F2         MKE                        334.0        432.0      36.50
A14        F3         IND                        530.0        653.0      79.94
A15        F1         MKE                        172.0        284.0      36.50
A15        F2         CID                        376.0        515.0      87.55
A15        F3         IND                        654.0        777.0      79.94
A16        F1         LAN                        150.0        285.0      80.43
A16        F2         CID                        402.0        536.0      87.55
A16        F3         PIA                        699.0        816.0      61.29
A17        F1         BMI                        193.0        311.0      55.89
A17        F2         MLI                        566.0        677.0      64.97
A18        F1         FWA                        183.0        317.0      71.84
A18        F2         GRR                        427.0        555.0      63.99
A18        F3         IND                        720.0        852.0      79.94
A19        F1         MKE                        206.0        320.0      36.50
A19        F2         CMI                        708.0        831.0      63.50
A20        F1         LAF                        177.0        342.0      57.12
A21        F1         CID                        236.0        375.0      87.55
A21        F2         SPI                        716.0        839.0      78.71
A22        F1         LAN                        262.0        392.0      80.43
A23        F1         SPI                        263.0        398.0      78.71
