SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 7
NUMBER OF REGULAR-CHARGERS: 0
NUMBER OF SPARE BATTERIES: 0

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         GRR                          1.0        121.0      73.99
A1         F2         GRR                        184.0        296.0      73.99
A1         F3         PIA                        368.0        490.0      71.29
A1         F4         MKE                        556.0        667.0      46.50
A1         F5         MDW                        736.0        835.0      26.13
A2         F1         CID                          0.0        124.0      97.55
A2         F2         MDW                        248.0        338.0      26.13
A2         F3         MDW                        450.0        541.0      26.13
A2         F4         FWA                        638.0        754.0      81.84
A3         F1         BMI                         24.0        147.0      65.89
A3         F2         MSN                        237.0        361.0      62.94
A3         F3         PIA                        423.0        541.0      71.29
A3         F4         MKE                        635.0        734.0      46.50
A4         F1         LAF                          3.0        155.0      67.12
A4         F2         BMI                        217.0        340.0      65.89
A4         F3         LAN                        432.0        557.0      90.43
A4         F4         MKE                        638.0        737.0      46.50
A5         F1         PIA                         63.0        173.0      71.29
A5         F2         BMI                        250.0        368.0      65.89
A5         F3         MKE                        444.0        556.0      46.50
A5         F4         MLI                        633.0        745.0      74.97
A6         F1         GRR                         55.0        174.0      73.99
A6         F2         GRR                        261.0        375.0      73.99
A6         F3         MKE                        461.0        568.0      46.50
A6         F4         MKE                        662.0        757.0      46.50
A7         F1         LAF                         10.0        175.0      67.12
A7         F2         CID                        256.0        382.0      97.55
A7         F3         SPI                        474.0        592.0      88.71
A7         F4         MSN                        682.0        788.0      62.94
A8         F1         MDW                         80.0        177.0      26.13
A8         F2         FWA                        253.0        375.0      81.84
A8         F3         CID                        465.0        596.0      97.55
A8         F4         SBN                        716.0        823.0      53.13
A9         F1         GRR                         49.0        178.0      73.99
A9         F2         IND                        260.0        390.0      89.94
A9         F3         MDW                        472.0        574.0      26.13
A9         F4         CMI                        651.0        781.0      73.50
A10        F1         MLI                         59.0        189.0      74.97
A10        F2         MSN                        251.0        373.0      62.94
A10        F3         GRR                        453.0        570.0      73.99
A10        F4         GRR                        658.0        788.0      73.99
A11        F1         CMI                         82.0        194.0      73.50
A11        F2         MDW                        306.0        403.0      26.13
A11        F3         MDW                        520.0        621.0      26.13
A11        F4         MKE                        689.0        790.0      46.50
A12        F1         SPI                         82.0        208.0      88.71
A12        F2         SPI                        300.0        434.0      88.71
A12        F3         GRR                        509.0        622.0      73.99
A12        F4         FWA                        721.0        836.0      81.84
A13        F1         IND                         81.0        210.0      89.94
A13        F2         SBN                        290.0        403.0      53.13
A13        F3         BMI                        492.0        609.0      65.89
A13        F4         MKE                        715.0        814.0      46.50
A14        F1         PIA                         99.0        221.0      71.29
A14        F2         MLI                        318.0        444.0      74.97
A14        F3         SBN                        506.0        621.0      53.13
A14        F4         CMI                        706.0        826.0      73.50
A15        F1         FWA                        101.0        221.0      81.84
A15        F2         FWA                        323.0        442.0      81.84
A15        F3         MKE                        538.0        646.0      46.50
A15        F4         MKE                        763.0        863.0      46.50
A16        F1         MDW                        126.0        222.0      26.13
A16        F2         MSN                        307.0        418.0      62.94
A16        F3         MSN                        494.0        601.0      62.94
A16        F4         MDW                        680.0        774.0      26.13
A17        F1         CID                         88.0        223.0      97.55
A17        F2         MSN                        365.0        480.0      62.94
A17        F3         MKE                        554.0        657.0      46.50
A18        F1         MKE                        114.0        224.0      46.50
A18        F2         MDW                        356.0        450.0      26.13
A18        F3         FWA                        519.0        633.0      81.84
A18        F4         MKE                        732.0        839.0      46.50
A19        F1         FWA                        101.0        228.0      81.84
A19        F2         IND                        303.0        440.0      89.94
A19        F3         GRR                        531.0        648.0      73.99
A19        F4         SPI                        738.0        874.0      88.71
A20        F1         CID                         99.0        234.0      97.55
A20        F2         CMI                        397.0        511.0      73.50
A20        F3         MDW                        596.0        680.0      26.13
A21        F1         LAN                        114.0        236.0      90.43
A21        F2         LAF                        317.0        480.0      67.12
A21        F3         GRR                        591.0        715.0      73.99
A22        F1         SBN                        127.0        238.0      53.13
A22        F2         GRR                        357.0        470.0      73.99
A22        F3         IND                        553.0        679.0      89.94
A23        F1         MKE                        134.0        247.0      46.50
A23        F2         SBN                        390.0        498.0      53.13
A23        F3         GRR                        661.0        776.0      73.99
A24        F1         MLI                        134.0        263.0      74.97
A24        F2         SBN                        405.0        515.0      53.13
A24        F3         CID                        594.0        734.0      97.55
A25        F1         LAN                        136.0        264.0      90.43
A25        F2         PIA                        397.0        519.0      71.29
A25        F3         LAF                        708.0        865.0      67.12
A26        F1         MLI                        159.0        269.0      74.97
A26        F2         CMI                        398.0        515.0      73.50
A26        F3         IND                        677.0        816.0      89.94
A27        F1         CID                        161.0        286.0      97.55
A27        F2         MLI                        417.0        532.0      74.97
A27        F3         IND                        723.0        854.0      89.94
A28        F1         LAF                        137.0        292.0      67.12
A28        F2         CMI                        573.0        691.0      73.50
A29        F1         LAF                        134.0        299.0      67.12
A30        F1         LAN                        173.0        301.0      90.43
A31        F1         IND                        219.0        356.0      89.94
A31        F2         GRR                        422.0        551.0      73.99
A32        F1         SPI                        229.0        358.0      88.71
A33        F1         LAN                        231.0        368.0      90.43
A33        F2         CID                        429.0        567.0      97.55
A34        F1         LAF                        257.0        417.0      67.12
