SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 6
NUMBER OF REGULAR-CHARGERS: 0
NUMBER OF SPARE BATTERIES: 0

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         CMI                          3.0        129.0      63.50
A1         F2         SPI                        221.0        348.0      78.71
A1         F3         MKE                        426.0        527.0      36.50
A1         F4         MSN                        614.0        719.0      52.94
A2         F1         SBN                         21.0        138.0      43.13
A2         F2         SBN                        223.0        329.0      43.13
A2         F3         SBN                        413.0        529.0      43.13
A2         F4         MKE                        597.0        696.0      36.50
A2         F5         MLI                        765.0        881.0      64.97
A3         F1         CID                         12.0        139.0      87.55
A3         F2         GRR                        258.0        373.0      63.99
A3         F3         CMI                        450.0        560.0      63.50
A3         F4         MDW                        642.0        730.0      16.13
A4         F1         GRR                         39.0        151.0      63.99
A4         F2         LAN                        242.0        377.0      80.43
A4         F3         CMI                        460.0        572.0      63.50
A4         F4         SPI                        642.0        761.0      78.71
A5         F1         PIA                         41.0        158.0      61.29
A5         F2         MDW                        301.0        388.0      16.13
A5         F3         GRR                        450.0        579.0      63.99
A5         F4         MSN                        640.0        753.0      52.94
A6         F1         BMI                         51.0        162.0      55.89
A6         F2         LAF                        257.0        418.0      57.12
A6         F3         MDW                        527.0        618.0      16.13
A6         F4         MKE                        694.0        793.0      36.50
A7         F1         MSN                         76.0        196.0      52.94
A7         F2         LAN                        276.0        413.0      80.43
A7         F3         IND                        498.0        622.0      79.94
A7         F4         BMI                        715.0        838.0      55.89
A8         F1         LAF                         31.0        201.0      57.12
A8         F2         SBN                        334.0        439.0      43.13
A8         F3         MSN                        504.0        619.0      52.94
A8         F4         BMI                        691.0        815.0      55.89
A9         F1         FWA                         91.0        205.0      71.84
A9         F2         MDW                        299.0        383.0      16.13
A9         F3         SPI                        465.0        590.0      78.71
A9         F4         SPI                        674.0        800.0      78.71
A10        F1         IND                         70.0        206.0      79.94
A10        F2         PIA                        322.0        432.0      61.29
A10        F3         MLI                        514.0        635.0      64.97
A10        F4         CID                        720.0        852.0      87.55
A11        F1         SPI                         77.0        212.0      78.71
A11        F2         GRR                        273.0        403.0      63.99
A11        F3         GRR                        470.0        586.0      63.99
A11        F4         MLI                        653.0        779.0      64.97
A12        F1         MSN                        104.0        218.0      52.94
A12        F2         LAF                        280.0        450.0      57.12
A12        F3         MDW                        533.0        632.0      16.13
A12        F4         LAN                        742.0        870.0      80.43
A13        F1         GRR                        137.0        265.0      63.99
A13        F2         MKE                        350.0        460.0      36.50
A13        F3         IND                        522.0        643.0      79.94
A13        F4         BMI                        736.0        853.0      55.89
A14        F1         BMI                        177.0        291.0      55.89
A14        F2         MDW                        380.0        472.0      16.13
A14        F3         MDW                        558.0        659.0      16.13
A14        F4         MSN                        764.0        883.0      52.94
A15        F1         PIA                        183.0        303.0      61.29
A15        F2         IND                        401.0        523.0      79.94
A15        F3         PIA                        596.0        711.0      61.29
A16        F1         IND                        215.0        341.0      79.94
A16        F2         PIA                        402.0        530.0      61.29
A16        F3         GRR                        613.0        742.0      63.99
A17        F1         SPI                        345.0        464.0      78.71
A17        F2         MDW                        588.0        674.0      16.13
A18        F1         SPI                        349.0        478.0      78.71
A18        F2         GRR                        588.0        716.0      63.99
A19        F1         BMI                        372.0        491.0      55.89
A19        F2         PIA                        555.0        677.0      61.29
A20        F1         SPI                        376.0        502.0      78.71
A20        F2         MDW                        581.0        675.0      16.13
A20        F3         IND                        748.0        873.0      79.94
A21        F1         MDW                        434.0        528.0      16.13
A21        F2         LAN                        657.0        784.0      80.43
A22        F1         MKE                        434.0        531.0      36.50
A22        F2         MLI                        635.0        758.0      64.97
A23        F1         CID                        391.0        534.0      87.55
A23        F2         LAN                        608.0        738.0      80.43
A24        F1         CMI                        424.0        537.0      63.50
A24        F2         MSN                        659.0        766.0      52.94
A25        F1         IND                        419.0        540.0      79.94
A25        F2         PIA                        696.0        816.0      61.29
A26        F1         MLI                        421.0        543.0      64.97
A27        F1         CMI                        423.0        550.0      63.50
A28        F1         MKE                        449.0        563.0      36.50
A29        F1         MSN                        523.0        646.0      52.94
A29        F2         IND                        759.0        886.0      79.94
A30        F1         FWA                        586.0        720.0      71.84
A31        F1         LAF                        575.0        740.0      57.12
A32        F1         PIA                        690.0        810.0      61.29
