SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 5
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         CMI                          5.0        132.0      63.50
A1         F2         MDW                        193.0        286.0      16.13
A1         F3         SBN                        360.0        466.0      43.13
A1         F4         GRR                        565.0        685.0      63.99
A1         F5         SPI                        757.0        877.0      78.71
A2         F1         MSN                         23.0        134.0      52.94
A2         F2         MKE                        204.0        312.0      36.50
A2         F3         SBN                        376.0        479.0      43.13
A2         F4         SBN                        544.0        654.0      43.13
A2         F5         SPI                        722.0        849.0      78.71
A3         F1         LAN                         27.0        164.0      80.43
A3         F2         MKE                        234.0        344.0      36.50
A3         F3         MDW                        407.0        509.0      16.13
A3         F4         FWA                        584.0        718.0      71.84
A4         F1         MDW                         94.0        181.0      16.13
A4         F2         CMI                        260.0        376.0      63.50
A4         F3         LAN                        452.0        584.0      80.43
A4         F4         MKE                        659.0        760.0      36.50
A5         F1         SBN                         82.0        196.0      43.13
A5         F2         LAF                        271.0        427.0      57.12
A5         F3         MDW                        519.0        613.0      16.13
A5         F4         IND                        684.0        812.0      79.94
A6         F1         CMI                         77.0        199.0      63.50
A6         F2         MKE                        279.0        388.0      36.50
A6         F3         MDW                        449.0        535.0      16.13
A6         F4         SPI                        614.0        743.0      78.71
A7         F1         FWA                         78.0        212.0      71.84
A7         F2         IND                        310.0        441.0      79.94
A7         F3         SPI                        509.0        636.0      78.71
A7         F4         MLI                        714.0        826.0      64.97
A8         F1         MDW                        172.0        255.0      16.13
A8         F2         GRR                        342.0        462.0      63.99
A8         F3         CID                        527.0        666.0      87.55
A8         F4         GRR                        764.0        892.0      63.99
A9         F1         MLI                        146.0        261.0      64.97
A9         F2         MDW                        338.0        436.0      16.13
A9         F3         BMI                        513.0        632.0      55.89
A9         F4         MSN                        707.0        816.0      52.94
A10        F1         MLI                        141.0        267.0      64.97
A10        F2         FWA                        386.0        503.0      71.84
A10        F3         MDW                        625.0        715.0      16.13
A11        F1         MKE                        187.0        287.0      36.50
A11        F2         MDW                        398.0        498.0      16.13
A11        F3         SPI                        592.0        721.0      78.71
A12        F1         MKE                        181.0        290.0      36.50
A12        F2         CID                        382.0        523.0      87.55
A12        F3         IND                        683.0        821.0      79.94
A13        F1         BMI                        182.0        306.0      55.89
A13        F2         SPI                        407.0        542.0      78.71
A13        F3         SBN                        611.0        710.0      43.13
A14        F1         LAN                        189.0        310.0      80.43
A14        F2         SBN                        404.0        510.0      43.13
A15        F1         FWA                        206.0        335.0      71.84
A15        F2         PIA                        468.0        587.0      61.29
A15        F3         GRR                        716.0        842.0      63.99
A16        F1         LAF                        193.0        359.0      57.12
A16        F2         CID                        711.0        852.0      87.55
A17        F1         CMI                        238.0        365.0      63.50
A17        F2         LAF                        457.0        612.0      57.12
A17        F3         CID                        743.0        884.0      87.55
A18        F1         CMI                        239.0        369.0      63.50
A18        F2         IND                        495.0        628.0      79.94
A19        F1         SBN                        313.0        423.0      43.13
A19        F2         MKE                        487.0        599.0      36.50
A20        F1         MLI                        326.0        455.0      64.97
A20        F2         GRR                        615.0        734.0      63.99
A21        F1         MKE                        369.0        475.0      36.50
A21        F2         BMI                        743.0        851.0      55.89
A22        F1         MDW                        412.0        511.0      16.13
A23        F1         FWA                        414.0        542.0      71.84
