SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 8
NUMBER OF REGULAR-CHARGERS: 0
NUMBER OF SPARE BATTERIES: 0

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         GRR                          4.0        120.0      63.99
A1         F2         MKE                        191.0        292.0      36.50
A1         F3         SBN                        363.0        471.0      43.13
A1         F4         IND                        546.0        674.0      79.94
A1         F5         MDW                        753.0        835.0      16.13
A2         F1         CMI                         12.0        136.0      63.50
A2         F2         MKE                        227.0        336.0      36.50
A2         F3         MDW                        463.0        545.0      16.13
A2         F4         CMI                        617.0        736.0      63.50
A3         F1         IND                         16.0        141.0      79.94
A3         F2         MLI                        217.0        335.0      64.97
A3         F3         MDW                        418.0        502.0      16.13
A3         F4         MDW                        576.0        678.0      16.13
A3         F5         MKE                        784.0        888.0      36.50
A4         F1         MLI                         32.0        143.0      64.97
A4         F2         PIA                        221.0        340.0      61.29
A4         F3         MDW                        426.0        524.0      16.13
A4         F4         MDW                        600.0        692.0      16.13
A4         F5         GRR                        770.0        883.0      63.99
A5         F1         MSN                         40.0        154.0      52.94
A5         F2         SBN                        274.0        373.0      43.13
A5         F3         CMI                        471.0        583.0      63.50
A5         F4         MSN                        697.0        805.0      52.94
A6         F1         MDW                         58.0        157.0      16.13
A6         F2         GRR                        249.0        377.0      63.99
A6         F3         SBN                        454.0        565.0      43.13
A6         F4         MKE                        683.0        786.0      36.50
A7         F1         MKE                         71.0        166.0      36.50
A7         F2         LAF                        252.0        403.0      57.12
A7         F3         SBN                        485.0        589.0      43.13
A7         F4         FWA                        715.0        836.0      71.84
A8         F1         LAF                         20.0        182.0      57.12
A8         F2         IND                        255.0        387.0      79.94
A8         F3         MKE                        496.0        595.0      36.50
A8         F4         BMI                        675.0        788.0      55.89
A9         F1         GRR                         62.0        185.0      63.99
A9         F2         BMI                        289.0        395.0      55.89
A9         F3         LAN                        466.0        603.0      80.43
A9         F4         CID                        686.0        824.0      87.55
A10        F1         MSN                         79.0        188.0      52.94
A10        F2         MDW                        285.0        384.0      16.13
A10        F3         CID                        468.0        596.0      87.55
A10        F4         SPI                        689.0        807.0      78.71
A11        F1         MSN                         78.0        197.0      52.94
A11        F2         GRR                        279.0        403.0      63.99
A11        F3         MDW                        531.0        616.0      16.13
A11        F4         CID                        717.0        849.0      87.55
A12        F1         MDW                         98.0        198.0      16.13
A12        F2         SBN                        298.0        416.0      43.13
A12        F3         MLI                        502.0        620.0      64.97
A12        F4         MKE                        699.0        797.0      36.50
A13        F1         MSN                         97.0        211.0      52.94
A13        F2         MDW                        320.0        411.0      16.13
A13        F3         SBN                        520.0        622.0      43.13
A13        F4         IND                        711.0        845.0      79.94
A14        F1         BMI                         97.0        213.0      55.89
A14        F2         GRR                        295.0        422.0      63.99
A14        F3         MKE                        527.0        626.0      36.50
A14        F4         CID                        730.0        872.0      87.55
A15        F1         MKE                        124.0        221.0      36.50
A15        F2         BMI                        312.0        430.0      55.89
A15        F3         CMI                        534.0        662.0      63.50
A16        F1         BMI                        122.0        231.0      55.89
A16        F2         MDW                        352.0        438.0      16.13
A16        F3         CID                        513.0        653.0      87.55
A17        F1         CID                        105.0        232.0      87.55
A17        F2         SPI                        330.0        448.0      78.71
A17        F3         LAN                        546.0        676.0      80.43
A18        F1         LAN                        119.0        252.0      80.43
A18        F2         MLI                        341.0        452.0      64.97
A18        F3         MSN                        544.0        662.0      52.94
A18        F4         MLI                        733.0        855.0      64.97
A19        F1         GRR                        147.0        259.0      63.99
A19        F2         MDW                        360.0        454.0      16.13
A19        F3         PIA                        555.0        683.0      61.29
A20        F1         FWA                        145.0        261.0      71.84
A20        F2         MKE                        349.0        457.0      36.50
A20        F3         CMI                        580.0        699.0      63.50
A21        F1         BMI                        148.0        261.0      55.89
A21        F2         GRR                        332.0        451.0      63.99
A21        F3         MLI                        563.0        688.0      64.97
A22        F1         FWA                        136.0        266.0      71.84
A22        F2         LAN                        346.0        469.0      80.43
A22        F3         IND                        563.0        693.0      79.94
A23        F1         MDW                        169.0        268.0      16.13
A23        F2         LAN                        340.0        467.0      80.43
A23        F3         MDW                        590.0        685.0      16.13
A24        F1         IND                        156.0        282.0      79.94
A24        F2         PIA                        386.0        510.0      61.29
A24        F3         MKE                        616.0        711.0      36.50
A25        F1         BMI                        165.0        283.0      55.89
A25        F2         CMI                        376.0        501.0      63.50
A25        F3         PIA                        619.0        745.0      61.29
A26        F1         BMI                        165.0        285.0      55.89
A26        F2         GRR                        395.0        515.0      63.99
A26        F3         MKE                        648.0        742.0      36.50
A27        F1         MDW                        195.0        294.0      16.13
A27        F2         MLI                        412.0        539.0      64.97
A27        F3         MLI                        639.0        758.0      64.97
A28        F1         CMI                        183.0        298.0      63.50
A28        F2         MSN                        443.0        547.0      52.94
A29        F1         BMI                        205.0        312.0      55.89
A29        F2         SPI                        414.0        549.0      78.71
A29        F3         GRR                        652.0        771.0      63.99
A30        F1         FWA                        194.0        321.0      71.84
A30        F2         BMI                        440.0        556.0      55.89
A30        F3         LAF                        627.0        794.0      57.12
A31        F1         FWA                        205.0        323.0      71.84
A31        F2         SPI                        412.0        545.0      78.71
A32        F1         LAN                        279.0        404.0      80.43
A32        F2         PIA                        506.0        623.0      61.29
A33        F1         LAF                        246.0        406.0      57.12
A33        F2         MKE                        518.0        625.0      36.50
A34        F1         LAN                        281.0        407.0      80.43
A34        F2         LAN                        496.0        636.0      80.43
A35        F1         LAN                        274.0        408.0      80.43
A35        F2         LAF                        515.0        666.0      57.12
A36        F1         IND                        281.0        417.0      79.94
A36        F2         IND                        571.0        700.0      79.94
A37        F1         MKE                        321.0        424.0      36.50
A38        F1         MSN                        348.0        472.0      52.94
A38        F2         IND                        628.0        755.0      79.94
A39        F1         LAF                        334.0        498.0      57.12
A40        F1         PIA                        440.0        554.0      61.29
A40        F2         LAN                        643.0        782.0      80.43
A41        F1         IND                        423.0        556.0      79.94
A42        F1         CID                        439.0        575.0      87.55
A43        F1         IND                        447.0        578.0      79.94
A44        F1         CMI                        564.0        689.0      63.50
A45        F1         GRR                        573.0        701.0      63.99
